step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,recall/_macro,recall/_micro,recall/_weighted
5,0.830078125,0.06895352478690721,0.826845659114453,0.8300731250301174,0.8279859034966349,0.6211597919464111,0.6211597919464111,0.1305681105815925,0.001,0.9,0.8329302463725998,0.830078125,0.8336746561079091,0.8287310300808294,0.830078125,0.830078125
6,0.92578125,0.04964241231528227,0.9256746922420666,0.925776250027004,0.9258356943361234,0.3221706748008728,0.3221706748008728,0.1080646127021957,0.001,0.9,0.9276545220685817,0.92578125,0.9268995075106203,0.9247568869080369,0.92578125,0.92578125
7,0.95703125,0.04326261181909367,0.9573155621697842,0.9570262500261223,0.957078168787269,0.18148954212665558,0.18148954212665558,0.07863265188876137,0.001,0.9,0.9578016166394651,0.95703125,0.9574332975913313,0.957150542662206,0.95703125,0.95703125
8,0.966796875,0.020455392931283418,0.9677805806576568,0.9667918750258584,0.9665830866361826,0.13264110684394836,0.13264110684394836,0.06473720181894467,0.001,0.9,0.9679120897778668,0.966796875,0.9667455113054837,0.9680033519265615,0.966796875,0.966796875
9,0.955078125,0.04375771067277359,0.9544493629080106,0.9550731250261757,0.9549489507518528,0.1675531268119812,0.1675531268119812,0.0995700007026632,0.001,0.9,0.954489824860762,0.955078125,0.9557879198996816,0.9554351213073439,0.955078125,0.955078125
10,0.955078125,0.03489726120038274,0.9558935431607327,0.9550731250261757,0.9550592897581587,0.15398640930652618,0.15398640930652618,0.088777698219377,0.001,0.9,0.9574650241720633,0.955078125,0.9560634224493911,0.955392859959697,0.955078125,0.955078125
step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,recall/_macro,recall/_micro,recall/_weighted
1,0.42578125,0.3337027395052131,0.4191298280443546,0.42577625005871494,0.4233313252500947,2.8301055431365967,2.8301055431365967,1.6266616839212777,0.001,0.9,0.5226842322041221,0.42578125,0.5266369025134404,0.42099859522104455,0.42578125,0.42578125
2,0.37890625,0.06665095001050565,0.3630977597902697,0.3789012500659785,0.36815731458594936,2.2148642539978027,2.2148642539978027,0.3736116748411506,0.001,0.9,0.3981408690919089,0.37890625,0.3996923273552274,0.37143339109371565,0.37890625,0.37890625
3,0.580078125,0.02605998099683511,0.5685068251623709,0.5800731250430973,0.5712538673509323,1.312591791152954,1.312591791152954,0.054999530369788,0.001,0.9,0.578571408903459,0.580078125,0.5821465187861841,0.5789404300945801,0.580078125,0.580078125
4,0.744140625,0.04352526049860653,0.7379472505769092,0.7441356250335955,0.7404195019923889,0.8114845156669617,0.8114845156669617,0.0453422545627447,0.001,0.9,0.7447509263507333,0.744140625,0.7470114003998646,0.7418859981530129,0.744140625,0.744140625
5,0.921875,0.021732694326023455,0.9213621360992716,0.9218700000271185,0.9207536935952177,0.3691558837890625,0.3691558837890625,0.05052099478021775,0.001,0.9,0.925041786711758,0.921875,0.9245810620639003,0.9226783606558333,0.921875,0.921875
6,0.98828125,0.01174170545784656,0.9879537623934352,0.9882762500252963,0.9882930149507453,0.14144062995910645,0.14144062995910645,0.020778122938580237,0.001,0.9,0.9883259927902784,0.98828125,0.9885010461182336,0.9877787023900468,0.98828125,0.98828125
7,0.986328125,0.007303440222698684,0.9860646949507418,0.9863231250253464,0.9862441683705814,0.08576296269893646,0.08576296269893646,0.01841822770782329,0.001,0.9,0.9867289055973266,0.986328125,0.9865946360040727,0.9858484848484848,0.986328125,0.986328125
8,1.0,0.0,0.999995000025,0.9999950000249999,0.9999950000249999,0.037373822182416916,0.037373822182416916,0.010121568212031567,0.001,0.9,1.0,1.0,1.0,1.0,1.0,1.0
9,0.998046875,0.0033895384034165065,0.9980077891059231,0.9980418750250488,0.9980430279748921,0.02348664030432701,0.02348664030432701,0.008837953536898048,0.001,0.9,0.9979166666666666,0.998046875,0.9980875651041666,0.9981481481481481,0.998046875,0.998046875
10,0.998046875,0.0033895384034165026,0.9981502002459843,0.9980418750250488,0.9980405528676389,0.015221310779452324,0.015221310779452324,0.00716610694471808,0.001,0.9,0.9983050847457626,0.998046875,0.9980799788135593,0.9980392156862745,0.998046875,0.998046875
step,accuracy01,accuracy01/std,f1/_macro,f1/_micro,f1/_weighted,loss,loss/mean,loss/std,lr,momentum,precision/_macro,precision/_micro,precision/_weighted,recall/_macro,recall/_micro,recall/_weighted
1,0.55078125,0.1844228086170021,0.5489503300602787,0.5507762500453897,0.5482570579489106,2.069018840789795,2.069018840789795,0.892058087736066,0.001,0.9,0.5575392519356861,0.55078125,0.5574357999493847,0.5518180416771477,0.55078125,0.55078125
2,0.59375,0.05969458859851104,0.5921670040621285,0.5937450000421048,0.592222818680871,1.158308982849121,1.158308982849121,0.10479565516579434,0.001,0.9,0.6114390593385374,0.59375,0.610003774087923,0.5936340523068913,0.59375,0.59375
